sample	hla	p_ijk	pi
Apher1	HLA-A03:01	1.035e+03	8.063e-01
Apher1	HLA-A29:02	1.294e+01	1.486e-02
Apher1	HLA-B44:02	3.737e+01	4.396e-02
Apher1	HLA-B44:03	1.533e+02	1.300e-01
Apher1	HLA-C12:03	9.865e-02	6.961e-04
Apher1	HLA-C16:01	1.998e+00	4.200e-03
Apher6	HLA-A02:01	1.289e+01	3.437e-02
Apher6	HLA-A03:01	3.016e+02	6.774e-01
Apher6	HLA-B07:02	1.155e+02	2.879e-01
Apher6	HLA-C07:02	4.237e-03	2.782e-04
Bcell	HLA-A01:01	2.007e+01	1.248e-02
Bcell	HLA-A03:01	4.861e+02	2.041e-01
Bcell	HLA-B07:02	3.826e+02	1.790e-01
Bcell	HLA-B27:05	1.511e+03	5.985e-01
Bcell	HLA-C02:02	4.952e-02	2.357e-04
Bcell	HLA-C07:01	3.620e+00	5.696e-03
CA46	HLA-A26:03	2.894e-05	9.613e-06
CA46	HLA-B27:04	4.958e+02	9.633e-01
CA46	HLA-C12:02	9.209e+00	3.667e-02
CD165	HLA-A02:05	7.293e+02	6.078e-01
CD165	HLA-A24:02	1.068e+00	3.336e-03
CD165	HLA-B15:01	3.294e+02	3.309e-01
CD165	HLA-B50:01	3.630e+01	5.090e-02
CD165	HLA-C03:03	6.496e-02	3.811e-04
CD165	HLA-C06:02	1.858e+00	6.700e-03
CM467	HLA-A01:01	1.145e+01	1.487e-02
CM467	HLA-A24:02	2.083e+00	4.499e-03
CM467	HLA-B13:02	1.307e+03	8.848e-01
CM467	HLA-B39:06	9.242e+01	8.915e-02
CM467	HLA-C06:02	2.075e+00	6.256e-03
CM467	HLA-C12:03	5.128e-02	4.202e-04
Fibroblast	HLA-A03:01	1.938e+02	1.876e-01
Fibroblast	HLA-A23:01	1.489e+00	4.342e-03
Fibroblast	HLA-B08:01	2.392e+01	2.264e-02
Fibroblast	HLA-B15:18	4.257e+00	9.749e-03
Fibroblast	HLA-C07:02	8.384e-02	6.538e-04
Fibroblast	HLA-C07:04	8.994e+02	7.750e-01
GD149	HLA-A01:01	6.462e+01	4.541e-02
GD149	HLA-A24:02	1.757e+00	3.501e-03
GD149	HLA-B38:01	1.217e+03	5.859e-01
GD149	HLA-B44:03	6.676e+02	3.547e-01
GD149	HLA-C06:02	6.373e+00	1.013e-02
GD149	HLA-C12:03	4.048e-02	2.841e-04
HCC1143	HLA-A31:01	4.123e+02	7.378e-01
HCC1143	HLA-B35:08	7.508e+00	2.560e-02
HCC1143	HLA-B37:01	1.214e+02	2.314e-01
HCC1143	HLA-C04:01	2.114e-02	3.691e-04
HCC1143	HLA-C06:02	7.680e-01	4.839e-03
HCC1937	HLA-A23:01	9.841e+00	2.468e-02
HCC1937	HLA-A24:02	8.696e+00	1.768e-02
HCC1937	HLA-B07:02	1.857e+02	2.077e-01
HCC1937	HLA-B40:01	7.464e+02	7.471e-01
HCC1937	HLA-C03:04	8.531e-02	6.462e-04
HCC1937	HLA-C07:02	3.118e-01	2.247e-03
HCT116	HLA-A01:01	4.894e+01	7.764e-02
HCT116	HLA-A02:01	1.938e+02	2.348e-01
HCT116	HLA-B18:01	2.359e+01	3.506e-02
HCT116	HLA-B45:01	5.816e+02	6.387e-01
HCT116	HLA-C05:01	4.584e+00	1.222e-02
HCT116	HLA-C07:01	4.302e-01	1.603e-03
HEK293	HLA-A03:01	1.020e+03	9.907e-01
HEK293	HLA-B07:02	6.586e+00	9.004e-03
HEK293	HLA-C07:02	1.466e-02	3.223e-04
HL-60	HLA-A01:01	8.228e-01	1.309e-03
HL-60	HLA-B57:01	1.357e+03	9.847e-01
HL-60	HLA-C06:02	8.169e+00	1.397e-02
HLA-A01:01	HLA-A01:01	1.305e+03	1.000e+00
HLA-A02:01	HLA-A02:01	1.850e+03	1.000e+00
HLA-A02:03	HLA-A02:03	1.590e+02	1.000e+00
HLA-A02:04	HLA-A02:04	3.360e+02	1.000e+00
HLA-A02:05	HLA-A02:05	2.800e+01	1.000e+00
HLA-A02:07	HLA-A02:07	5.060e+02	1.000e+00
HLA-A02:14	HLA-A02:14	1.000e+00	1.000e+00
HLA-A03:01	HLA-A03:01	6.850e+02	1.000e+00
HLA-A11:01	HLA-A11:01	3.360e+02	1.000e+00
HLA-A23:01	HLA-A23:01	1.000e+00	1.000e+00
HLA-A24:02	HLA-A24:02	1.008e+03	1.000e+00
HLA-A24:06	HLA-A24:06	2.300e+01	1.000e+00
HLA-A24:13	HLA-A24:13	8.000e+00	1.000e+00
HLA-A26:01	HLA-A26:01	3.000e+01	1.000e+00
HLA-A29:02	HLA-A29:02	1.144e+03	1.000e+00
HLA-A30:01	HLA-A30:01	5.000e+00	1.000e+00
HLA-A30:03	HLA-A30:03	1.000e+00	1.000e+00
HLA-A31:01	HLA-A31:01	2.980e+02	1.000e+00
HLA-A32:01	HLA-A32:01	5.000e+01	1.000e+00
HLA-A66:01	HLA-A66:01	7.000e+00	1.000e+00
HLA-A66:02	HLA-A66:02	2.000e+00	1.000e+00
HLA-A68:01	HLA-A68:01	4.000e+00	1.000e+00
