pep_length	start_pos	hla	weight	w
8	1	HLA-A01:01	3.670e+00	4.829e-02
8	1	HLA-A02:01	6.596e-01	7.249e-03
8	1	HLA-A02:03	6.374e-07	1.275e-07
8	1	HLA-A02:04	4.794e-04	7.989e-05
8	1	HLA-A02:05	3.404e-06	6.808e-07
8	1	HLA-A02:07	3.036e-03	2.530e-04
8	1	HLA-A03:01	1.750e-01	9.721e-03
8	1	HLA-A11:01	6.486e-03	2.162e-03
8	1	HLA-A23:01	3.317e-05	3.317e-05
8	1	HLA-A24:02	1.752e+00	5.308e-02
8	1	HLA-A24:06	3.814e-05	1.907e-05
8	1	HLA-A24:13	7.094e-02	2.365e-02
8	1	HLA-A26:01	1.402e-07	1.402e-07
8	1	HLA-A29:02	1.463e+00	2.868e-02
8	1	HLA-A31:01	1.686e-02	2.408e-03
8	1	HLA-A32:01	4.671e-08	2.336e-08
8	1	HLA-A66:02	4.412e-04	4.412e-04
8	1	HLA-A68:02	3.583e-01	3.982e-02
8	1	HLA-B07:02	2.660e+00	1.511e-02
8	1	HLA-B08:01	5.166e+00	2.414e-02
8	1	HLA-B13:01	1.185e-03	5.927e-04
8	1	HLA-B13:02	1.135e-03	5.674e-04
8	1	HLA-B14:02	7.897e-05	1.579e-05
8	1	HLA-B15:01	1.043e+00	1.241e-02
8	1	HLA-B15:02	1.014e+00	2.815e-02
8	1	HLA-B15:08	7.724e-03	7.724e-03
8	1	HLA-B15:11	1.206e-03	1.206e-03
8	1	HLA-B18:01	9.364e-01	8.670e-03
8	1	HLA-B18:03	2.023e-01	7.782e-03
8	1	HLA-B27:01	8.963e-08	8.148e-09
8	1	HLA-B27:02	2.741e-13	9.136e-14
8	1	HLA-B27:04	3.132e-16	1.566e-16
8	1	HLA-B27:05	3.421e-02	2.443e-03
8	1	HLA-B27:06	6.776e-16	6.776e-16
8	1	HLA-B27:07	3.452e-09	1.151e-09
8	1	HLA-B27:08	8.136e-15	8.136e-15
8	1	HLA-B27:09	2.513e-01	1.933e-02
8	1	HLA-B35:01	2.175e+00	1.208e-01
8	1	HLA-B35:02	9.639e-05	9.639e-05
8	1	HLA-B35:03	6.486e-04	2.162e-04
8	1	HLA-B35:06	1.945e-03	1.945e-03
8	1	HLA-B35:08	7.004e-03	2.335e-03
8	1	HLA-B37:01	3.720e-02	6.199e-03
8	1	HLA-B39:01	3.768e-03	1.983e-04
8	1	HLA-B39:06	2.233e-02	1.314e-03
8	1	HLA-B39:09	5.407e-03	2.704e-03
8	1	HLA-B39:24	3.023e-02	1.591e-03
8	1	HLA-B40:01	1.672e-03	7.963e-05
8	1	HLA-B40:02	1.551e+00	6.357e-03
8	1	HLA-B41:04	2.588e-01	6.471e-02
8	1	HLA-B41:05	1.544e-06	7.720e-07
8	1	HLA-B41:06	3.211e-05	3.211e-05
